StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
030037,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030038,1000,1,1730,1.73,1.73,1.73,1.73,0.0,2023-03-20
030039,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03003U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030040,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030041,41000,3,49510,1.21,1.21,1.19,1.19,-0.04,2023-03-20
030042,171000,7,213880,1.29,1.29,1.23,1.26,-0.07,2023-03-20
030043,92000,3,117160,1.2,1.29,1.2,1.28,0.11,2023-03-20
030044,236000,3,675760,2.88,2.88,2.86,2.86,-0.08,2023-03-20
030045,272000,7,685820,2.56,2.56,2.48,2.49,-0.1,2023-03-20
030046,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030047,150000,2,262500,1.75,1.75,1.75,1.75,0.0,2023-03-20
030048,11000,2,81250,7.4,7.4,7.25,7.25,0.4,2023-03-20
030049,27000,8,51940,1.88,1.95,1.88,1.95,0.08,2023-03-20
03004U,457000,7,209520,0.45,0.46,0.45,0.46,0.0,2023-03-20
030050,20000,2,4900,0.25,0.25,0.24,0.24,0.02,2023-03-20
030051,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030052,181000,9,238970,1.37,1.37,1.29,1.29,-0.08,2023-03-20
030053,2000,1,2060,1.03,1.03,1.03,1.03,0.0,2023-03-20
030054,46000,3,47930,1.05,1.05,1.03,1.03,-0.09,2023-03-20
030055,5000,1,23700,4.74,4.74,4.74,4.74,0.05,2023-03-20
030056,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030057,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030058,13000,3,33900,2.6,2.62,2.6,2.6,-0.06,2023-03-20
030059,458000,29,655570,1.35,1.54,1.34,1.54,0.27,2023-03-20
03005U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03005X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030060,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030061,5000,1,4250,0.85,0.85,0.85,0.85,-0.1,2023-03-20
030062,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030063,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
